DATE,LNS11300060
2000-01-01,84.0333333333333333
2001-01-01,83.7333333333333333
2002-01-01,83.3250000000000000
2003-01-01,82.9916666666666667
2004-01-01,82.7500000000000000
2005-01-01,82.7500000000000000
2006-01-01,82.9083333333333333
2007-01-01,83.0000000000000000
2008-01-01,83.1083333333333333
2009-01-01,82.6500000000000000
2010-01-01,82.1500000000000000
2011-01-01,81.5833333333333333
2012-01-01,81.4416666666666667
2013-01-01,81.0083333333333333
2014-01-01,80.9333333333333333
2015-01-01,80.8500000000000000
2016-01-01,81.3083333333333333
