ZIPCODE,DRUGCODE,Q1,Q2,Q3,Q4
995,1100B,686.17,679.30,667.25,766.76
996,1100B,133.93,124.90,139.56,156.18
997,1100B,114.66,119.54,118.99,112.95
998,1100B,41.36,54.09,52.73,66.08
999,1100B,14.95,18.37,11.18,11.55
995,1100D,1426.57,1397.09,1435.95,1448.18
996,1100D,284.18,261.13,268.54,281.78
997,1100D,263.52,278.20,236.02,276.10
998,1100D,67.78,80.94,86.03,94.88
999,1100D,21.55,29.49,14.22,21.63
995,1105D,10.40,11.20,16.82,7.20
996,1105D,0.00,0.00,1.20,0.80
997,1105D,3.20,4.00,3.60,2.80
998,1105D,0.00,0.00,0.40,0.40
995,1724,3706.01,3601.93,3474.49,3884.60
996,1724,1089.58,959.23,910.21,1011.95
997,1724,1067.35,1179.39,1205.08,1326.11
998,1724,412.21,362.45,291.93,416.96
999,1724,231.91,229.65,230.08,251.86
995,9041L,10.67,22.24,17.27,12.98
996,9041L,7.81,11.02,5.16,7.82
997,9041L,9.26,31.58,15.12,13.52
998,9041L,0.71,0.35,1.06,0.35
999,9041L,0.00,2.48,0.71,2.13
995,9050,5694.14,5115.05,6175.38,5261.87
996,9050,2064.98,1958.37,2040.20,1666.65
997,9050,2959.86,2535.45,2321.99,2805.99
998,9050,1238.32,1342.11,1730.30,1435.95
999,9050,770.48,556.53,527.84,655.67
995,9143,14836.25,15208.48,15628.33,16372.98
996,9143,4870.78,4409.91,4795.82,4725.91
997,9143,2155.37,2552.47,2750.14,3135.22
998,9143,1432.98,1471.20,1474.10,1685.87
999,9143,495.91,494.69,737.72,556.82
995,9150,378.22,372.18,428.08,512.02
996,9150,81.41,83.59,81.22,59.99
997,9150,11.01,24.73,21.94,26.26
998,9150,4.21,15.87,3.32,1.38
999,9150,1.40,1.06,1.76,2.67
995,9193,5360.46,5768.40,5429.88,5659.62
996,9193,2641.22,3011.05,2909.25,2710.55
997,9193,897.08,1010.25,1088.63,1060.70
998,9193,643.51,595.23,607.85,687.71
999,9193,256.64,281.32,341.05,317.58
995,9230,3899.77,3902.64,4256.81,3896.16
996,9230,2089.00,1813.12,1880.80,2070.78
997,9230,852.38,989.04,998.60,897.25
998,9230,277.20,337.54,239.46,289.24
999,9230,33.70,23.66,75.73,37.18
995,9250B,3628.27,3758.62,3902.72,4325.25
996,9250B,1351.16,1337.24,1462.35,1516.18
997,9250B,296.51,321.05,363.99,402.54
998,9250B,181.78,215.56,209.76,220.06
