ZIPCODE,DRUGCODE,Q1,Q2,Q3,Q4
350,1100,9670.72,10825.85,10496.86,10769.05
351,1100,5746.29,6167.01,5552.32,5393.45
352,1100,12564.85,13737.82,12398.36,12601.12
354,1100,7432.86,7224.15,7117.94,6392.47
355,1100,2603.40,2807.76,2697.38,2967.07
356,1100,5972.27,6412.53,6161.27,6300.36
357,1100,2074.18,2133.04,2143.08,2114.94
358,1100,2993.50,3257.18,3022.15,3168.13
359,1100,2458.44,2741.06,2646.44,2931.30
360,1100,3880.96,4173.39,4120.21,4264.36
361,1100,3906.55,4373.16,4236.70,3910.10
362,1100,1417.25,1555.57,1580.20,1528.47
363,1100,3408.16,3526.40,3632.16,3366.43
364,1100,1023.49,1088.92,1082.26,1016.67
365,1100,6255.60,6956.34,6401.88,6079.69
366,1100,5070.45,5018.95,4545.65,4588.12
367,1100,973.75,1085.19,1025.90,1201.33
368,1100,3801.32,3746.39,3695.47,3289.13
369,1100,112.69,110.94,116.52,162.78
995,1100,2803.66,3109.10,3213.15,3122.46
996,1100,642.71,747.69,698.63,694.01
997,1100,829.73,787.6,756.8,768.06
998,1100,238.96,350.99,343.85,377.08
999,1100,127.13,101.01,156.67,81.85
967,1100,0,3.17,1.9,3.8
850,1100,10213.19,10571.30,9049.50,9661.84
851,1100,1251.32,1363.32,1336.53,1408.26
852,1100,18245.54,19491.85,17587.94,19089.10
853,1100,6391.87,6798.95,6155.04,6757.84
855,1100,380.67,430.17,369.03,382.92
856,1100,984.61,1072.54,1044.15,1008.42
857,1100,7835.18,8177.37,7498.37,8070.39
859,1100,262.26,320.67,357.92,270.21
860,1100,738.49,813.86,826.93,952.94
863,1100,1052.71,1124.82,1057.48,1098.40
864,1100,626.72,814.03,672.93,701.23
865,1100,34.14,60.14,39.95,16.73
716,1100,1762.79,1749.20,1755.93,1770.48
717,1100,565.41,562.08,639.19,681.91
718,1100,577.42,770.36,700.12,623.45
719,1100,1708.76,1953.10,1993.42,2009.24
720,1100,4799.57,4926.09,4964.70,5084.46
721,1100,4046.13,4282.56,4252.32,4434.81
722,1100,4499.99,4885.28,4960.92,5320.07
723,1100,964.59,1012.22,994.83,1125.13
724,1100,2136.56,2087.19,2184.09,2128.71
725,1100,549.86,601.5,631.46,581.87
726,1100,1007.39,1144.82,1077.17,1174.53
727,1100,6273.30,6667.27,6554.80,6393.45
728,1100,742.88,761.6,772.75,721.22
729,1100,1147.28,1284.87,1187.78,1216.94
900,1100,11893.18,13223.92,11902.87,11867.52
902,1100,7141.01,7808.67,7449.09,7283.57
903,1100,172.05,179.29,199.72,162.06
904,1100,2545.54,2527.18,2479.49,3201.24
905,1100,1111.23,1235.69,1203.58,1358.28
906,1100,1556.40,1615.69,1413.53,1535.87
907,1100,1960.44,2318.78,1953.32,2087.74
908,1100,1781.86,1895.48,1757.56,1852.87
910,1100,1021.03,1209.04,1098.80,1119.61
911,1100,1344.77,1619.36,1297.27,1572.43
912,1100,529.78,604.59,624.33,693.08
913,1100,9442.45,10407.55,9737.78,9955.90
914,1100,2280.34,2439.34,2313.52,2344.84
915,1100,1158.99,1266.42,1258.03,1143.44
916,1100,756.42,979.35,766.36,965.97
917,1100,4170.79,4699.57,4199.63,4657.45
918,1100,173.4,222.69,165.26,165.72
919,1100,1478.22,1722.15,1690.84,1672.12
920,1100,11024.01,12065.16,11403.60,11407.07
921,1100,9528.41,11264.34,9625.22,10073.41
922,1100,2114.31,2554.08,2140.45,2148.87
923,1100,3085.96,3585.08,3249.51,3325.10
924,1100,323.82,368.89,401.27,416.29
925,1100,3657.21,4143.25,3900.41,4387.57
926,1100,12666.91,15076.91,12799.82,13446.73
927,1100,2531.41,2962.01,2623.51,2988.27
928,1100,4857.45,5605.43,5157.73,5734.81
930,1100,4150.57,4391.73,4306.82,3970.45
931,1100,2828.35,3020.71,2689.61,2747.59
932,1100,1395.49,1437.60,1379.60,1402.37
933,1100,1499.97,1568.60,1523.72,1545.27
934,1100,2213.93,2552.93,2314.39,2267.58
935,1100,1681.48,1730.45,1729.22,1696.98
936,1100,1273.77,1272.23,1338.25,1357.89
937,1100,1891.09,2017.02,2010.42,2089.33
939,1100,1182.70,1264.76,1346,1420.45
940,1100,3382.05,3651.55,3902.30,3856.51
941,1100,6502.97,6756.64,6663.17,7857.50
943,1100,709.16,758.27,688.97,808.75
944,1100,640.56,635.14,770.02,783.09
945,1100,9794.96,10914.02,10976.28,10959.20
946,1100,1691.28,2057.03,1792.92,1920.66
947,1100,896.88,909.63,998.33,1030.89
948,1100,321,410.54,339.4,436.6
949,1100,3037.03,3262.06,2940.87,3204.14
950,1100,4391.36,4692.57,4759.32,5175.89
951,1100,2371.95,2513.41,2710.80,2588.22
952,1100,1392.14,1575.73,1609.47,1498.81
953,1100,4066.08,4237.39,4012.25,4353.86
954,1100,2628.50,2970.25,3160.22,2977.36
955,1100,898.09,859.55,934.08,809.97
956,1100,7763.32,8345.15,8698.23,8094.92
957,1100,1307.89,1566.62,1437.68,1565.29
958,1100,3379.55,3705.07,3705.84,3748.09
959,1100,3751.13,4059.12,3718.12,3798.02
960,1100,1117.40,1145.09,1257.02,1143.75
961,1100,450.85,490.68,481.81,504.14
800,1100,7041.73,7662.33,7418.58,7719.94
801,1100,7135.84,7664.69,7394.34,7243.22
802,1100,8959.89,9636.03,9026.47,9070.86
803,1100,2311.95,2440.43,2173.53,2252.85
804,1100,1724.11,1824.83,1822.89,1683.04
805,1100,4033.40,4189.94,4145.33,4485.63
806,1100,1179.45,1192.60,1250.18,1199.47
807,1100,183.74,206.94,200.05,238.75
808,1100,569.35,701.78,641.34,603.93
809,1100,3737.56,4199.41,4079.99,3966.37
810,1100,568.25,673.1,633.62,664.94
811,1100,113.69,120.81,127.27,128.9
812,1100,373.94,341.36,325.61,277.72
813,1100,374.11,430.07,399.82,379.42
814,1100,307.88,355.71,328.54,312.72
815,1100,868.21,1013.20,939.4,875.54
816,1100,1235.64,1246.63,1296.75,1079.42
060,1100,5086.68,5900.86,5396.59,5244.86
061,1100,1839.11,1997.88,2005.63,1915.35
062,1100,1140.67,1238.19,1187.51,1164.36
063,1100,3029.34,3524.87,3366.23,3133.40
064,1100,6577.47,7953.30,7352.54,6890.39
065,1100,2005.28,2156.84,2083.34,1990.36
066,1100,755.58,853.54,842.61,763.03
067,1100,1972.04,2321.58,2041.68,2075.02
068,1100,5910.56,6504.05,6083.89,6090.09
069,1100,834.36,944.13,958.94,868.21
197,1100,6898.45,7628.11,6449.11,6997.24
198,1100,5177.37,5381.16,4758.46,5447.27
199,1100,4517.48,4939.09,4230.32,4910.99
200,1100,6012.88,6938.25,6309.12,5948.02
203,1100,181.82,163.47,100.43,61.16
204,1100,99.07,140.55,121.01,180.26
320,1100,4550.03,4777.61,4415.90,4580.86
321,1100,3625.84,4093.22,3708.29,3997.14
322,1100,10470.73,11540.67,10588.39,11462.50
323,1100,6405.55,6728.53,6271.74,6298.56
324,1100,3716.80,4172.70,3706.90,3812.76
325,1100,10876.59,11378.89,10648.60,10236.61
326,1100,3447.65,3547.01,2934.30,3246.43
327,1100,9971.71,10733.16,9641.93,10348.64
328,1100,7967.09,8514.77,7800.12,7975.92
329,1100,7110.20,7591.68,7170.49,7655.14
330,1100,11018.35,14556.25,11781.01,12497
331,1100,8118.02,8507.45,7400.89,7803.20
333,1100,6272.99,6640.46,5735.62,6180.56
334,1100,12168.53,13573.82,11717.88,12870.22
335,1100,4599.31,5179.58,4607.72,4845.52
336,1100,7605.19,7854.15,7159.88,7397.16
337,1100,6483.41,7154.87,6349.30,6511.70
338,1100,4141.41,4354.39,3950.52,3847.53
339,1100,7114.82,8039.16,6832.50,6982.03
341,1100,3830.12,3905.99,3335.35,3673.19
342,1100,6478.77,6809.08,5937.20,6069.52
344,1100,2145.95,2280.16,2014.21,2239.81
346,1100,4575.98,4847.48,4432.13,4384.22
347,1100,3955.87,4377.99,3959.45,4699.23
349,1100,3593.52,3909.19,3420.89,4006.81
300,1100,22029.19,24478.67,21934.14,20811.60
301,1100,12456.26,13610.88,12906.41,12505.45
302,1100,7560.92,8183.61,7660.41,7650.60
303,1100,11161.07,13115.70,11661.39,11021.67
304,1100,3626.14,3415.34,3396.30,3190.66
305,1100,6635.57,7312.27,7095.11,6338
306,1100,4465.33,5142.63,4736.05,4682.85
307,1100,4496.80,4497.73,4489.41,4533.47
308,1100,2187.50,2153.49,2306.68,1982.94
309,1100,3350.12,3572.49,3448.24,3432.41
310,1100,4242.25,4659.53,4363.39,4216.86
312,1100,1790.21,1973.60,1730.91,1789.96
313,1100,2114.32,2723.09,2738.29,2684.33
314,1100,2978.55,3606.72,3084.22,2983.68
315,1100,3661.97,3743.71,3824.38,3720.94
316,1100,1899.30,2181.46,1949,1789.79
317,1100,3880.52,3957.52,4056.33,3710.63
318,1100,360.1,380.38,336.39,313.51
319,1100,4180.60,4439.92,4524.04,3959.31
398,1100,824.64,804.76,822.43,797.33
969,1100,417.51,252.85,253.78,392.55
967,1100,2525.59,2697.28,2799.18,2690.97
968,1100,2281.57,2159.46,2303.27,2272.80
832,1100,695.75,768.21,782.78,812.18
833,1100,1151.24,1294.01,1303.49,1129.07
