ZIPCODE,DRUGCODE,Q1,Q2,Q3,Q4
350,1100,11682.39,11891.95,12764,13612.29
351,1100,6710.93,7176.85,7386.13,7988.35
352,1100,13903.75,14483.09,15537.87,15931.31
354,1100,8042.47,8038.53,8259.91,8558.22
355,1100,3046.42,3212.97,3312.80,3375.42
356,1100,7167.06,7309.28,7617.58,7739.27
357,1100,2519.84,2691.62,2679.16,2853.65
358,1100,3500.74,3637.71,3783.10,3881.08
359,1100,3086.62,3217.41,3296.56,3573.78
360,1100,5058.70,5101.38,5509.96,5672.59
361,1100,4760.44,4644.32,4830.79,5040.19
362,1100,1714.93,1674.63,1833.15,1957.02
363,1100,4345.45,4629.55,5155.76,5315.56
364,1100,1110.46,1147.92,1171.01,1277.30
365,1100,7439.12,7990.79,8738.58,8989.53
366,1100,5545.99,5998.41,6246.02,6606.84
367,1100,1203.24,1186.30,1338.39,1418.34
368,1100,4026.57,4188.54,4589.52,4941.95
369,1100,115.01,89.5,108.88,131.82
995,1100,3617.27,3517.86,3785.84,3950.52
996,1100,728.39,737.97,732.78,784.05
997,1100,869.97,897.84,1114.96,1040.01
998,1100,361.6,345.86,442.7,389.74
999,1100,69.2,100.28,135.07,113.31
967,1100,0.32,1.58,2.85,1.27
850,1100,10841.39,10980.72,11668.32,12127.80
851,1100,1812.52,1861.41,1989.26,2186.09
852,1100,21923.63,22356.45,22662.88,24195.77
853,1100,7139.32,7232.82,7640.73,8304.66
855,1100,340.66,375.1,450.76,450.65
856,1100,1226.01,1139.05,1244.72,1414.66
857,1100,8642.76,8699.62,8800,9360.36
859,1100,319.25,308.27,326.79,314.27
860,1100,889.62,887.62,1048.57,1157.99
863,1100,1226.47,1194.85,1265.53,1269.02
864,1100,752.56,731.24,790.9,798.64
865,1100,52.69,57.35,35.57,46.79
716,1100,1949.92,1977.27,2121.10,2330.45
717,1100,805.7,688.91,727.25,790.1
718,1100,796.23,881.07,827.94,999.88
719,1100,2114.38,2075.57,2359.49,2531.13
720,1100,5035.37,5241.53,5690.21,5780.41
721,1100,4396.21,4253.54,5054.04,5100.24
722,1100,5155.97,5162.12,5697.69,5688.84
723,1100,1080.31,1106.39,1172.02,1265.80
724,1100,2154.11,2212.98,2354.68,2525.75
725,1100,506.78,555.75,556.74,695.96
726,1100,1148.03,1148.43,1320.77,1369.55
727,1100,5804.43,6602.97,7864.58,9051.52
728,1100,734.63,739.78,759,819.54
729,1100,1231.28,1216.44,1323.98,1536.29
900,1100,15426.68,15698.18,16115.19,16337.30
902,1100,8812.78,8965.34,9345.35,9524.83
903,1100,160.27,130.37,136.83,139.27
904,1100,3079.34,3337,3480.51,3458.52
905,1100,1342.40,1311.54,1498.69,1572.80
906,1100,1817.07,1824.56,1739.36,1964.57
907,1100,2486.79,2552.44,2453.96,2484.01
908,1100,1989.92,2084.76,2100.11,2218.58
910,1100,1308.59,1345.02,1399.27,1405.38
911,1100,1611.01,1633.66,1781.71,1826.17
912,1100,913.45,956.62,967.53,1033.48
913,1100,11192.91,11280.83,11481.90,11889.67
914,1100,2649.20,2926.49,3189.49,3040.74
915,1100,1441.96,1453.56,1360.04,1417.43
916,1100,1097.24,1213.49,1272.41,1275.09
917,1100,4727.69,4976.26,5086.21,5318.18
918,1100,246.92,245.75,222.16,207.18
919,1100,1961.65,1909.73,2086.96,2167.14
920,1100,14251.23,17148.80,21725.04,22883.78
921,1100,12729.08,13250.37,13343.87,13478.66
922,1100,2722.86,2341.76,2414.71,2673.69
923,1100,3539.95,3419.20,3301.45,3625.18
924,1100,414.53,391.12,378.91,446.66
925,1100,4930.49,4767.51,4945.04,5232.58
926,1100,15997.01,16473.27,16462.93,17559.78
927,1100,3411.62,3708.67,3413.03,3519.14
928,1100,6414.28,6521.43,6397.70,6951.12
930,1100,4551.24,4960.30,4842.56,5041.20
931,1100,3055.08,3129.52,3015.46,3050.16
932,1100,1536.86,1480.56,1429.97,1608.26
933,1100,1753.94,1693.13,1649.73,1767.60
934,1100,2628.42,2776.68,2765.76,2945.95
935,1100,1753.02,1744.71,1743.43,1836.95
936,1100,1510.81,1470.96,1540.25,1615.14
937,1100,2258.84,2305.78,2351.60,2254.42
939,1100,1544.73,1371.31,1384.55,1398.41
940,1100,4280.82,4501.10,4621.08,4943.02
941,1100,8394.63,8530.76,9035.96,9171.55
943,1100,842.85,866.3,886.13,879.14
944,1100,937.57,1048.30,987.53,925.69
945,1100,12588.34,12678.74,13373.40,13510.46
946,1100,2277.54,2323.31,2285.42,2522.91
947,1100,1151.60,1315.40,1148.69,1205.95
948,1100,449.46,483.32,414.78,515.17
949,1100,3891.12,3739.76,3976.72,4105.93
950,1100,5502.04,5704.13,5633.98,5831.74
951,1100,2939.75,3089.05,3247.87,3293.15
952,1100,1654.31,1617.77,1664.85,1811.12
953,1100,4515.99,4501.69,4327.97,4682.94
954,1100,3113.25,3301.29,3232.44,3427.05
955,1100,840.36,838.36,753.82,837.17
956,1100,8635.77,8784.71,9224.05,9625.78
957,1100,1579.47,1560.57,1711.31,1760.10
958,1100,4120.38,4032.35,3997.83,4070.62
959,1100,3742.84,4011.72,3720.33,4079.50
960,1100,1346.16,1351.12,1239.95,1374.62
961,1100,485.69,495.55,533.13,517.93
800,1100,8192.41,8506.73,9130.30,9476.74
801,1100,8720.92,8772.08,9465.69,10125.43
802,1100,11492.78,11335.17,12441.03,12905.13
803,1100,2855.12,2819.23,2692.27,2826.05
804,1100,2038.99,1942.14,2091.36,2114.53
805,1100,4521.21,4493.45,4915.24,5260.52
806,1100,1300.85,1300.74,1323.26,1510.87
807,1100,222.2,179.37,195.3,236.46
808,1100,701.08,658.39,704.16,790.14
809,1100,4897.12,4786.48,5403.26,5536.04
810,1100,685.61,719.15,836.32,924.42
811,1100,122.66,135.12,116.02,162.75
812,1100,353.25,287.91,387.45,442.21
813,1100,450.79,439.88,573.38,548.36
814,1100,330.49,249.5,341.5,375.52
815,1100,972.68,928.32,1050.89,1120.54
816,1100,1384.29,1349.64,1563.31,1570.99
060,1100,6438.07,6619.65,6808.28,6927.94
061,1100,2410.60,2425.91,2350.30,2533.44
062,1100,1322.39,1316.04,1245.30,1566.77
063,1100,3444.06,3488.50,3796.75,3680.34
064,1100,8454.73,8991.39,9250.08,9489.63
065,1100,2632.68,2888.63,2800.06,3063.62
066,1100,969.06,952.94,998.98,1114.70
067,1100,2476.12,2568.95,2570.14,2787.23
068,1100,7004.47,7562.98,7701.88,7986.13
069,1100,1082.02,1174.94,1237.42,1223.56
197,1100,7194.70,7623.71,7793.88,7824.28
198,1100,5468.96,5709.08,5519.53,5603.91
199,1100,4607.52,4462.62,4584.33,4673.84
200,1100,7565.41,7910.98,8041.46,8232.56
203,1100,73.76,47,74.67,58.49
204,1100,163.84,170.78,205.59,160.43
320,1100,5703.02,6354.01,5404.07,6344.41
321,1100,4436.38,5305.29,4011.86,4620
322,1100,14074.43,16076.37,14155.87,15228.36
323,1100,7445.50,7947.51,7367.30,7820.70
324,1100,4612.58,5069.95,5027.90,5742.46
325,1100,11914.83,13460.02,12280.28,13612.11
326,1100,3659.29,4231.04,3522.88,4105.23
327,1100,11316.74,12787.20,10269,11843.69
328,1100,8621.30,9323.11,7883.35,8734.99
329,1100,8219.09,9529.96,7609.16,8721.34
330,1100,9364.32,10274.97,8283.96,9719.74
331,1100,10237.59,11783.47,9344.76,10600.41
333,1100,7419.15,8621.44,6267.93,7425.26
334,1100,14938.31,16592.55,13606.21,15519.24
335,1100,6098.03,7108.07,5500.29,6495.07
336,1100,8830.38,9267.91,7935.71,9113.02
337,1100,7633.82,9212.37,6782.29,8197.23
338,1100,4311.76,5105.70,3507.20,4510.88
339,1100,7274.85,8306.15,6233.20,7371.11
341,1100,4240,4785.89,3794.79,4368.16
342,1100,7898.11,9313.97,6992.52,8484.73
344,1100,2376.03,3010.45,1818.69,2401.78
346,1100,5175.07,6023.20,4324.19,5467.65
347,1100,4706.72,5759.92,4230.38,5020.47
349,1100,3908.19,4684.41,3529.30,4095.53
300,1100,25027.35,25420.34,26102.97,27398.35
301,1100,13535.72,13820.17,14029.20,14879.26
302,1100,8523.99,8423.98,9062.25,9249.94
303,1100,14227.16,14849.38,15316.50,15802.65
304,1100,3923.54,3905.15,4094.29,4010.91
305,1100,6841.89,6944.01,7503.87,7755.02
