ZIPCODE,DRUGCODE,Q1,Q2,Q3,Q4
995,1100B,416.16,396.63,433.46,423.54
996,1100B,102.76,100.63,88.24,108.29
997,1100B,114.37,85.54,92.30,128.31
998,1100B,33.42,18.83,28.37,36.55
999,1100B,4.28,4.59,2.93,10.63
995,1100D,1694.20,1741.24,1598.97,1597.99
996,1100D,285.32,250.34,235.05,270.65
997,1100D,289.63,224.83,243.44,312.43
998,1100D,83.99,35.38,45.70,72.83
999,1100D,17.10,13.74,13.45,27.67
995,1724,2348.54,2077.91,2252.36,2654.82
996,1724,779.46,661.08,648.62,778.87
997,1724,956.09,623.84,632.46,854.21
998,1724,255.77,179.49,177.63,224.34
999,1724,215.49,206.91,116.60,255.78
995,9143,9593.52,9930.00,11259.94,13990.62
996,9143,4753.64,3960.69,5058.54,5279.71
997,9143,1110.79,944.45,1304.91,1675.77
998,9143,1175.99,992.20,1085.83,1236.15
999,9143,232.28,259.06,218.19,333.44
995,9193,3788.51,3440.10,4085.16,4440.27
996,9193,1487.05,1437.67,1740.67,1814.59
997,9193,564.73,484.46,622.79,703.34
998,9193,328.69,370.07,393.50,429.27
999,9193,210.82,224.31,220.51,231.89
350,1100B,799.85,645.38,708.65,726.51
351,1100B,468.47,406.11,477.65,526.39
352,1100B,1363.86,1248.35,1456.17,1683.91
354,1100B,512.75,527.59,511.74,533.48
355,1100B,190.73,151.42,182.01,209.14
356,1100B,531.86,476.69,473.57,540.55
357,1100B,201.60,218.86,231.07,232.86
358,1100B,406.12,333.46,367.19,420.40
359,1100B,314.86,237.61,330.06,362.48
360,1100B,283.99,217.28,277.99,282.49
361,1100B,442.68,356.25,379.98,523.65
362,1100B,190.46,160.47,151.99,193.39
363,1100B,261.77,205.02,258.50,221.34
364,1100B,99.15,75.66,94.14,105.65
365,1100B,513.15,395.35,489.17,588.70
366,1100B,591.47,520.58,591.28,636.16
367,1100B,94.19,75.17,57.11,78.45
368,1100B,383.17,379.12,418.03,435.24
369,1100B,19.81,5.27,12.64,13.35
350,1100D,1298.06,1067.28,1216.53,1227.30
351,1100D,737.96,671.15,723.63,789.25
352,1100D,2442.02,2243.93,2496.03,2814.27
354,1100D,943.71,1000.93,970.06,994.22
355,1100D,363.96,305.77,330.19,352.34
356,1100D,796.06,750.13,719.44,758.84
357,1100D,328.22,338.43,343.66,367.44
358,1100D,637.39,500.78,547.87,595.86
359,1100D,551.28,474.52,574.40,603.45
360,1100D,490.77,379.07,470.94,499.34
361,1100D,914.92,695.01,737.69,977.46
362,1100D,299.93,247.97,231.61,282.59
363,1100D,425.35,346.20,411.45,368.65
364,1100D,144.28,113.77,133.72,142.52
365,1100D,753.69,573.26,695.73,782.22
366,1100D,842.43,738.81,826.33,874.60
367,1100D,151.10,126.73,105.72,118.25
368,1100D,596.40,569.53,629.25,639.18
369,1100D,31.72,13.42,22.90,23.33
350,1724,3493.80,2675.76,3353.16,3408.65
351,1724,2000.25,1584.34,1856.87,2131.30
352,1724,6413.84,5556.68,7072.53,7295.10
354,1724,1558.49,1344.19,1646.02,1660.81
355,1724,937.48,644.33,899.34,928.00
356,1724,2346.96,1792.30,2105.85,2541.49
357,1724,921.95,665.74,853.80,933.14
358,1724,1729.49,1352.62,1566.27,1781.87
359,1724,1460.51,1063.53,1301.01,1416.79
360,1724,1417.74,984.55,1347.49,1533.62
361,1724,1822.17,1222.12,1600.34,1684.29
362,1724,920.00,725.77,879.31,946.13
363,1724,2278.11,1335.68,1867.59,2275.12
364,1724,613.86,436.20,654.47,680.41
365,1724,2502.55,1525.03,2258.58,2225.73
366,1724,3016.72,2576.53,2733.66,2886.00
367,1724,553.30,414.86,520.66,567.82
368,1724,1187.68,1013.17,1125.49,1370.74
369,1724,115.37,54.67,77.93,115.37
350,9143,6195.56,7867.39,8422.34,10424.44
351,9143,3461.98,4166.32,5064.91,6212.71
352,9143,9427.79,11335.43,13001.91,16373.80
354,9143,3480.43,4528.28,4372.04,4348.39
355,9143,3951.57,5354.52,6956.72,9473.00
356,9143,3317.48,4245.87,4756.27,5617.89
357,9143,954.97,1086.06,1282.01,1255.30
358,9143,1851.49,1804.85,2249.68,2722.21
359,9143,5514.62,6803.66,7619.29,8513.96
360,9143,1927.36,2155.45,2290.10,2469.95
361,9143,1887.67,1803.76,2065.44,2653.39
362,9143,1898.00,2251.88,2715.72,3239.37
363,9143,2443.59,2548.19,2602.47,3179.08
364,9143,1687.89,1879.40,2244.34,2213.07
365,9143,3646.15,3958.04,3999.32,4983.74
366,9143,3697.93,3647.81,4136.02,5296.10
367,9143,902.95,848.82,912.37,1021.22
368,9143,1808.08,2383.02,2765.75,3394.13
369,9143,346.84,313.71,353.17,461.75
350,9193,13798.83,12595.08,12673.93,15344.35
351,9193,7139.90,6574.90,6739.23,7957.58
352,9193,13425.54,12343.71,12167.36,15152.22
354,9193,4226.77,3721.03,3716.46,4728.41
355,9193,6801.08,6487.34,6424.32,8678.31
356,9193,11699.71,11336.58,11718.30,13894.58
357,9193,3903.32,3786.59,3480.06,4538.72
358,9193,5354.99,4776.74,4925.52,5491.01
359,9193,8498.73,8250.75,8575.20,10607.29
360,9193,4790.24,4091.50,4137.69,4937.22
361,9193,3586.61,2942.26,3256.32,3901.25
362,9193,6032.15,5604.47,5809.54,6733.86
363,9193,5439.84,4633.35,5004.29,5861.27
364,9193,2895.25,4195.10,3010.05,3814.12
365,9193,7089.89,6522.00,6780.22,8031.66
366,9193,7761.65,7435.20,7658.41,8567.64
367,9193,1686.23,1424.55,1432.52,1877.81
368,9193,3525.05,3128.30,3389.13,4078.57
369,9193,439.44,346.00,391.64,496.59
716,1100B,147.61,201.47,169.64,245.53
717,1100B,88.09,73.31,75.07,86.93
718,1100B,88.25,82.33,63.70,114.19
719,1100B,248.57,230.80,231.09,262.92
720,1100B,752.76,619.98,708.73,796.11
721,1100B,532.57,473.56,540.03,546.06
722,1100B,720.01,614.77,600.20,749.08
723,1100B,148.73,121.74,124.30,188.91
724,1100B,299.38,279.31,316.53,397.47
725,1100B,72.97,71.68,71.97,76.98
726,1100B,85.41,65.64,78.27,105.59
727,1100B,896.15,962.01,1016.32,882.30
728,1100B,139.21,143.53,149.68,183.26
729,1100B,331.20,270.15,335.42,335.89
755,1100B,7.19,4.47,19.68,8.79
716,1100D,443.06,432.14,328.12,440.75
717,1100D,126.56,125.20,107.70,121.00
718,1100D,125.99,129.27,92.82,166.43
719,1100D,391.75,388.98,385.53,399.48
720,1100D,1135.72,896.18,1011.73,1127.28
721,1100D,870.25,781.81,842.77,882.07
722,1100D,1125.13,987.44,949.58,1157.94
