ZIPCODE,DRUGCODE,Q1,Q2,Q3,Q4
995,1100B,817.88,820.91,790.76,739.80
996,1100B,177.20,157.95,179.23,149.57
997,1100B,132.33,99.86,136.57,107.18
998,1100B,123.72,72.74,119.82,105.48
999,1100B,28.54,16.92,26.15,34.69
995,1100D,1366.54,1421.33,1400.82,1301.17
996,1100D,297.79,261.45,308.41,247.99
997,1100D,258.77,234.77,267.61,220.46
998,1100D,161.81,88.28,156.12,133.58
999,1100D,37.00,20.80,31.42,39.12
995,1724,3978.36,4010.14,3668.76,3526.64
996,1724,1159.74,1037.77,1078.82,967.71
997,1724,1593.62,1335.72,1517.47,1317.75
998,1724,553.25,482.42,508.46,469.10
999,1724,241.51,194.93,197.79,386.38
995,9041L,5.39,6.40,5.82,6.90
996,9041L,5.83,4.53,5.40,2.70
997,9041L,11.95,17.40,30.99,9.24
998,9041L,0.63,0.34,0.40,4.60
999,9041L,1.14,0.85,1.28,0.71
995,9050,5274.66,5090.03,5364.80,4036.25
996,9050,2057.75,2014.01,2215.48,1528.55
997,9050,2401.32,2512.66,2280.76,1857.47
998,9050,1281.18,1270.87,1422.34,1442.29
999,9050,708.10,616.54,804.41,628.36
995,9064,11.80,9.55,20.34,16.49
996,9064,27.72,26.40,28.20,27.24
997,9064,0.01,0.48,0.11,0.00
998,9064,0.96,2.65,3.37,4.15
999,9064,70.98,50.70,65.10,60.90
995,9143,15153.99,13252.77,15701.83,13316.90
996,9143,4554.42,4012.46,4681.49,3917.74
997,9143,2708.31,2442.89,2733.61,2354.36
998,9143,1640.78,1375.71,1570.90,1513.29
999,9143,646.03,386.97,739.12,778.33
995,9150,414.92,303.29,372.77,367.72
996,9150,80.59,55.12,52.53,54.18
997,9150,54.42,39.64,34.78,40.25
998,9150,15.60,5.16,4.34,4.20
999,9150,14.68,2.37,6.77,10.46
995,9193,6270.37,5946.05,6199.55,5243.51
996,9193,3222.73,3291.17,3327.89,3065.13
997,9193,1193.51,1183.79,1289.94,991.45
998,9193,649.97,581.61,735.61,591.09
999,9193,389.17,329.26,479.84,473.05
995,9230,3193.16,2266.80,2575.77,2003.94
996,9230,1675.56,1361.70,1509.01,1212.08
997,9230,744.34,544.82,812.12,550.75
998,9230,132.43,179.67,164.63,142.21
999,9230,23.49,15.86,43.50,40.95
995,9250B,4447.03,3634.39,4154.42,3790.77
996,9250B,2006.87,1894.83,2241.35,1809.72
997,9250B,530.61,437.66,606.13,613.76
998,9250B,273.98,241.32,317.20,400.71
999,9250B,113.55,65.19,133.38,141.62
995,9300,8201.18,6709.14,8612.94,7414.30
996,9300,3244.42,2526.36,3335.42,2942.64
997,9300,1568.42,1241.49,1877.18,1684.34
998,9300,461.07,334.49,446.86,560.69
999,9300,234.39,82.43,237.24,244.09
995,9801,163.16,141.16,155.99,124.29
996,9801,69.43,64.49,70.36,60.61
997,9801,36.09,29.90,38.48,33.69
998,9801,11.63,10.57,12.50,11.35
999,9801,4.75,2.97,5.00,5.27
350,1100B,1746.95,1631.75,1805.27,1756.23
351,1100B,1268.81,1127.49,1203.96,1178.50
352,1100B,4507.47,4143.26,4338.01,4098.63
354,1100B,1464.50,1534.65,1561.55,1715.28
355,1100B,430.77,360.92,442.07,508.99
356,1100B,1442.62,1322.57,1386.55,1365.55
357,1100B,461.91,443.16,450.20,431.03
358,1100B,723.98,586.10,713.93,738.94
359,1100B,586.00,540.32,641.73,615.36
360,1100B,546.00,469.20,599.01,533.64
361,1100B,863.64,754.75,900.82,775.98
362,1100B,387.21,324.62,381.96,358.48
363,1100B,697.66,619.17,720.25,681.12
364,1100B,181.02,156.73,189.00,199.13
365,1100B,1312.70,1151.76,1242.73,1277.25
366,1100B,1246.56,1190.08,1182.53,1225.33
367,1100B,217.00,153.59,180.91,168.43
368,1100B,888.37,731.48,865.19,846.70
369,1100B,26.73,11.75,23.71,28.12
350,1100D,2268.03,2069.29,2279.89,2198.83
351,1100D,1555.96,1340.44,1482.11,1396.49
352,1100D,5695.04,5055.62,5313.70,4975.06
354,1100D,1838.13,1906.92,1909.61,2096.37
355,1100D,580.50,466.35,569.42,625.96
356,1100D,1737.56,1633.91,1673.70,1656.70
357,1100D,576.27,559.41,566.86,520.49
358,1100D,869.24,691.87,859.56,893.91
359,1100D,783.78,729.77,835.13,838.74
360,1100D,689.29,610.73,758.81,649.78
361,1100D,1139.12,1002.86,1207.63,1014.11
362,1100D,462.94,399.89,479.23,440.27
363,1100D,903.21,784.42,906.63,840.17
364,1100D,236.13,196.64,248.08,255.33
365,1100D,1506.72,1345.37,1436.73,1443.00
366,1100D,1459.44,1352.47,1367.30,1423.19
367,1100D,273.83,191.34,224.24,212.16
368,1100D,1043.55,884.36,1047.60,987.68
369,1100D,35.67,17.38,35.27,38.01
350,1724,7278.58,6680.74,7167.19,6713.20
351,1724,4651.98,3865.16,4146.86,3557.85
352,1724,16243.56,14283.96,13934.43,12453.89
354,1724,2657.53,2544.93,2609.31,2650.12
355,1724,1846.69,1406.07,1607.20,1699.82
356,1724,4660.66,4306.35,4370.75,3958.67
357,1724,1996.76,1813.81,2007.78,1657.42
358,1724,2734.20,2314.23,2702.13,2342.12
359,1724,2948.25,2559.42,2946.46,2709.68
360,1724,2910.83,2595.37,2852.91,2558.07
361,1724,2837.92,2158.08,2854.71,2308.36
362,1724,1799.41,1554.24,1739.81,1753.79
363,1724,4089.55,3729.29,4179.88,3579.11
364,1724,1189.58,948.61,1145.13,1082.76
365,1724,3737.36,3070.56,3573.05,3235.07
366,1724,3852.67,3462.26,3209.33,3590.12
367,1724,1039.23,804.40,974.16,732.06
368,1724,2780.19,2402.72,2842.60,2514.16
369,1724,167.92,140.36,148.78,215.99
350,9041L,2.43,5.26,3.19,2.14
351,9041L,4.26,6.81,4.12,3.69
352,9041L,53.21,27.21,42.31,27.12
354,9041L,2.84,3.55,3.70,2.13
355,9041L,0.00,5.91,3.41,1.78
356,9041L,10.51,6.07,8.24,4.40
357,9041L,7.12,10.67,12.81,8.52
358,9041L,18.67,6.13,11.09,11.39
359,9041L,5.34,0.35,3.83,0.98
360,9041L,0.71,0.99,0.71,0.00
361,9041L,35.31,21.90,34.88,19.33
362,9041L,2.26,1.49,1.51,1.24
363,9041L,0.14,0.14,0.00,0.00
364,9041L,0.00,4.46,0.28,0.00
365,9041L,0.28,1.30,1.42,1.24
