ZIPCODE,DRUGCODE,Q1,Q2,Q3,Q4
350,1100,13295.84,13811.85,14239.33,14779.34
351,1100,7683.13,7692.57,7937.20,8011.14
352,1100,16045.42,16187.69,17065.06,17309.49
354,1100,8447.98,8372.77,8572.71,9066.58
355,1100,3321.81,3263.72,3591.15,3497.07
356,1100,7769.33,8023.02,8375.79,8683.88
357,1100,2776.42,2740.52,2946.77,3202.70
358,1100,3737.74,4081.38,4360.32,4289.91
359,1100,3507.58,3579.08,3804.10,3938.92
360,1100,5663.52,5787.11,5993.97,6184.19
361,1100,5250.41,5128.49,5345.94,5353.14
362,1100,2016.28,2009.71,2141.85,2200.03
363,1100,5621.87,5159.54,5429.15,5709.54
364,1100,1266.68,1420.71,1265.93,1278.85
365,1100,9117.45,9436.26,9956,9991.48
366,1100,6764.84,7044.75,7613.12,8033.83
367,1100,1410.73,1300.03,1381.72,1342.86
368,1100,4926.43,4860.52,4909.70,5134.95
369,1100,109.24,106.58,103.33,94.02
995,1100,3897.35,4067.80,4317.24,4188.99
996,1100,813.3,819.18,914.45,912.7
997,1100,1127.49,1178.94,1330.77,1176.19
998,1100,383.85,420.42,463.84,382.07
999,1100,117.86,121.47,194.03,136.3
967,1100,1.58,0,1.27,1.27
850,1100,12696.12,12589.73,12609.98,13595.51
851,1100,2215.50,2255.07,2300.66,2380.47
852,1100,24449.52,24341.93,25032.27,26047.47
853,1100,8550.58,8372.03,8369.74,9026.84
855,1100,425.71,434.56,447.6,487.51
856,1100,1369.10,1395.77,1355.92,1383.24
857,1100,9790.48,9360.42,9503.99,10095.40
859,1100,332.13,302.01,436.66,353.61
860,1100,1160.22,1090.88,1134.32,1147.83
863,1100,1284.88,1214.54,1228.94,1382.89
864,1100,927.13,810.98,813.45,906.55
865,1100,47.94,59.01,38.56,31.66
716,1100,2442.30,2516.64,2414.38,2354.88
717,1100,844.37,738.39,758.95,839.3
718,1100,818.43,883.56,829.64,890.35
719,1100,2687.53,2906.63,2996.95,3110.46
720,1100,6005.40,6026.78,6069.46,6299.19
721,1100,5415.80,5282.81,5490.19,5554.80
722,1100,6126.91,6108.06,6111.89,6137.72
723,1100,1315.53,1279.06,1266.46,1330.32
724,1100,2523.40,2449.99,2445.14,2587.76
725,1100,625.33,667.31,685.71,645.61
726,1100,1334.24,1308.50,1456.27,1244.80
727,1100,8687.75,9441.10,9679.52,9767.49
728,1100,861.41,820.26,823.76,840.95
729,1100,1464.92,1447.43,1554.67,1548.77
900,1100,16453.89,16655.62,17387.59,17571.49
902,1100,9430.89,10320.76,10487.88,10351.69
903,1100,184.51,205.47,168.61,224.29
904,1100,3497.28,3730,4179.35,3938.05
905,1100,1495.58,1526.50,1581.03,1589.19
906,1100,1923.18,1946.85,2061.45,1995.18
907,1100,2654.14,2804.71,2838.11,2846.41
908,1100,2370.13,2270.18,2449.45,2632.82
910,1100,1466,1523.93,1496.49,1546.66
911,1100,1923,2009.79,2103.29,2046.67
912,1100,999.16,1099.91,1191.80,1223.43
913,1100,11543.86,11936.64,12299.56,12617.69
914,1100,3053.35,3137.95,3322.96,3678.87
915,1100,1366.13,1424.72,1601.97,1471.50
916,1100,1337.75,1460.25,1668.01,1626.52
917,1100,5540.05,5447.89,5271.90,5806.95
918,1100,198.44,196.62,200.57,241.99
919,1100,2170.08,2250.86,2270.46,2309.95
920,1100,22317.74,22822.45,23517.84,24253.37
921,1100,13973.66,14472.75,14627.46,15395.35
922,1100,2893.96,2644.85,2631.23,3073.65
923,1100,3424.85,3594.70,3494.14,3763.30
924,1100,391.58,406.3,421.95,394.29
925,1100,5181.02,5072.90,5032.45,5547.64
926,1100,16963.19,17768.54,17846.22,18312.42
927,1100,3483.75,3827.81,3959.84,4320.86
928,1100,6785.65,6844.35,6853.85,7419.53
930,1100,4753.81,4800.31,5091.83,5398.14
931,1100,3052.36,3246.50,3073.66,3226.55
932,1100,1676.48,1638.46,1597.57,1641.81
933,1100,1931.45,1844.22,1753.43,1902.13
934,1100,2848.85,3006.94,2907.56,3112.91
935,1100,2041,2247.30,2786.28,2087.20
936,1100,1643.79,1587.31,1682.64,1832.71
937,1100,2334,2271.02,2346.66,2432.10
939,1100,1410.80,1464.15,1498.70,1690.39
940,1100,4697.39,4670,5039.86,5242.32
941,1100,9502.84,9482.72,9737.27,10268.03
943,1100,907.97,955.1,864.89,1068.27
944,1100,1017.25,1050.38,1111.52,1149.95
945,1100,13891.09,13548.17,13673.85,14647.50
946,1100,2480.30,2513.92,2655.99,2891.18
947,1100,1250.97,1227.40,1098.01,1357.64
948,1100,507.68,458.23,515.87,579.41
949,1100,3977.86,4019.44,4170.97,4272.23
950,1100,5836.96,5910.88,5905.36,6650.26
951,1100,3125.11,3091.90,3303.15,3564.25
952,1100,1787.21,1797.76,1836.74,1869.36
953,1100,4579.45,4524.30,4669.02,4946.90
954,1100,3283.99,3345.32,3382.10,3364.60
955,1100,810.18,790.34,838.6,829.07
956,1100,9624.83,9521.40,9512.15,9895.06
957,1100,1824.29,1729.53,1931.83,1993.54
958,1100,4403.30,4181.43,4421.16,4592.59
959,1100,4025.95,3828.79,4017.09,4174.96
960,1100,1281.61,1313.92,1285.28,1369.28
961,1100,480.44,485.34,447.07,533.51
800,1100,9535.63,9693.46,10099.91,10305.13
801,1100,10406.26,10366.34,11199.57,11466.07
802,1100,13745.28,13721.31,14503.94,15001.21
803,1100,2888.75,2965.10,2902,3258.61
804,1100,2371.41,2232.74,2426.95,2337.32
805,1100,5333.04,5534.34,5667.30,6069.25
806,1100,1532.61,1533.53,1752.11,1940.61
807,1100,206.82,218.38,201.58,264.06
808,1100,785.06,792.26,896.64,902.65
809,1100,5749.17,5756.47,6357.30,5928.03
810,1100,924.3,1007.03,1011.43,1123.91
811,1100,157.15,130.92,166.78,165.53
812,1100,421.52,420.33,421.87,436.11
813,1100,578.74,586.88,606.67,629.04
814,1100,409.89,435.19,402.33,386.69
815,1100,1228.16,1251.45,1166.77,1297.03
816,1100,1748.61,1690.26,1813.14,1796.84
060,1100,6961.67,7123.75,7382.38,7700.77
061,1100,2629.46,2681.29,2714.33,2808.59
062,1100,1459.90,1523.93,1576.39,1931.02
063,1100,3817.97,4047.96,4253.35,4128.09
064,1100,9561.65,9688.98,10425.81,10783.60
065,1100,3021.09,3101.53,3563.73,3583.19
066,1100,1049.45,1121.44,1176.26,1254.31
067,1100,2669.02,2703.37,2768.75,2998.35
068,1100,7741.94,7916.47,8631.15,8967.05
069,1100,1250.80,1209.83,1270.74,1351.56
197,1100,8384.05,8173.89,8569.28,9162.66
198,1100,6066.75,5676.18,6081.91,6309.83
199,1100,4911.52,4828.25,5224.71,5127.96
200,1100,8433.56,8772.67,8802.93,9030.42
203,1100,67.46,63.05,62.26,49.66
204,1100,233.95,163.74,220.04,158.4
205,1100,2.9,1.88,0,0
320,1100,6656.06,6746.66,6703.76,6814.41
321,1100,5511.63,5309.55,5585.49,5876.21
322,1100,16404.58,16368.75,16656.97,17206.43
323,1100,8137.19,8336.53,8186.23,8779.92
324,1100,5882.46,6372.66,6254.12,6595.42
325,1100,14442.51,14562.62,15466.96,15071.51
326,1100,4267.03,4081.80,4201.25,4462.81
327,1100,12500.57,12451.06,12687.25,12335.62
328,1100,9714.45,9779.30,9942.45,10449.85
329,1100,9770.14,9341.94,9395.79,9801.03
330,1100,10656.72,10734.43,10604.98,11867.39
331,1100,11594.15,11588.64,11617.18,12659.74
333,1100,8023.07,7812.10,8312.45,8718.24
334,1100,16598.65,16849.31,17735.12,19056.88
335,1100,7078.04,6850.38,6955.75,7669.94
336,1100,9828.71,10143.15,10320.48,10835.38
337,1100,8950.68,8824.61,8878.51,9609.73
338,1100,4941.41,4951.04,4921.18,5422.99
339,1100,8268.75,7995.26,8189.18,8779.17
341,1100,4702.51,4685.02,4650.91,5192.80
342,1100,9505.55,9410.24,9292.03,10256.59
344,1100,2741.46,2644.63,2617.26,3078.91
346,1100,5765.16,5986.76,6008.83,6276.70
347,1100,5542.28,5418.86,5548.76,6137.45
349,1100,4981.35,4540.49,4760.99,5339.27
300,1100,27537.45,28002.65,29801.57,31307.42
301,1100,15149.85,15224.69,16629.99,17269.47
302,1100,9332.92,9665.50,10188.01,10925.32
303,1100,15892.59,16350.03,17039.16,17987.56
304,1100,4370.89,4520.49,4953.45,5192.50
305,1100,7920.63,8236.44,8766.35,9048.15
306,1100,5719.62,5561.82,6044.06,6491.17
307,1100,5014.22,4846.71,5095.81,5311.40
308,1100,2346.55,2359.69,2567.42,2710.60
309,1100,4314.45,4414.64,4581.76,4927.01
310,1100,5190.53,5176.76,5359.83,5594.51
312,1100,2383.72,2294.86,2444.14,2487.93
313,1100,3759.93,3978.26,4763.44,4326.55
314,1100,4366.69,4519.85,4836.81,4728.42
315,1100,4759.06,4963.11,5259.28,5206.56
316,1100,2510.01,2285.30,2392.02,2615.61
317,1100,4845.54,4897.98,5161.56,5255.97
318,1100,387.35,363.25,463.07,456.81
319,1100,5299.65,5142.17,5700.06,5637.57
398,1100,1183.19,1062.07,1217.33,1186.23
969,1100,464.19,338.63,472.99,319.63
967,1100,3235.48,3372.84,3410.40,3644.84
968,1100,3375.26,3889.79,3976.13,3743.97
832,1100,1400.89,1324.03,1470.30,1474.31
833,1100,1478.41,1484.42,1517.70,1634.43
834,1100,2980.29,3003.36,3188.06,3340.39
835,1100,370.31,328.35,301.55,302.08
836,1100,4878.59,4789.43,4964.22,5359.12
837,1100,5888.69,5462.07,5724.18,6041.33
838,1100,1404.14,1346.58,1558.71,1609.15
600,1100,24701.83,23408.63,25411.27,26519.79
601,1100,15928.45,14950.06,15959.32,17670.96
602,1100,1250.92,1282.78,1105.23,1243.21
603,1100,936.78,953.26,968.68,1053.22
604,1100,12905.30,12578.82,13267.01,14213.35
605,1100,12823.71,12247,12994.79,13929.62
606,1100,26121.41,25820.83,27490,29827.43
607,1100,1633.52,1490.36,1776.56,1870.95
608,1100,385.83,368.92,379.01,451.71
609,1100,1519.06,1509.63,1499.27,1655.93
610,1100,2678.36,2639.97,2844.49,3031.39
611,1100,2951.90,2733.64,2937.48,3149.37
612,1100,2570.16,2500.76,2607.14,2694.40
613,1100,1611.83,1650.64,1741.40,1960.01
614,1100,1500.64,1436.32,1406.39,1649.31
615,1100,2276.73,2317.32,2429.91,2661.11
616,1100,3074.04,3004.52,3142.43,3409.44
617,1100,2852.54,2627.34,2884.85,3149.14
618,1100,3228.86,3042.91,3240.54,3552.35
619,1100,1225.53,1205.21,1179.83,1255.84
620,1100,2735.98,2735.63,2749.30,2966.45
622,1100,4319.85,4592.19,4746.69,4941.75
623,1100,1575.17,1611.25,1754.79,1728.98
624,1100,1078.17,1132.69,1083.39,1101.42
625,1100,1546.58,1551.13,1557.14,1693.74
626,1100,1266.19,1232.89,1463.16,1449.24
627,1100,2070.28,2025.25,2160.57,2191.34
628,1100,1889.73,1990.36,2041.17,2238.06
629,1100,2848.06,2938.99,3022.59,3318.63
460,1100,10793.59,11242.49,11936.63,12210.38
461,1100,6400.63,6334.87,6525.97,6944.15
462,1100,13033.57,13169.40,13651.70,14475.98
463,1100,8499.18,8527.11,8958.25,9528.76
464,1100,863.36,919.13,919.48,929.7
465,1100,13499.53,13944.92,14265.84,15136.77
466,1100,3368.25,3403.38,3538.37,3952.94
467,1100,2586.01,2692.68,2926.73,3088.09
468,1100,4410.37,4420.73,4711.14,4847.97
469,1100,4647.97,4571.63,4734.08,5107.95
470,1100,1099.63,1188.63,1324.88,1295.46
471,1100,4290.54,4035.33,4636.76,4834.60
472,1100,1847.87,1662.68,1786.58,1976.59
473,1100,4357.07,4258.28,4552.72,4598.92
474,1100,3500.17,3552.65,3461.96,3837.06
475,1100,2045.88,2092.04,2114.98,2075.71
476,1100,2155.86,2251.92,2305.81,2394.63
477,1100,4686.88,4738.25,5274.96,5190.33
478,1100,1801.51,1710.48,1770.72,1964.11
479,1100,5685.64,5675.68,5809.38,6326
500,1100,2688.94,2609.04,2845.70,3026.32
501,1100,1502.39,1557.93,1494.51,1602.71
502,1100,2386.52,2399.65,2425.92,2530.56
503,1100,4310.02,4204.60,4496.20,4736.10
504,1100,779.84,791.37,727.28,744.37
505,1100,1191.19,1219.81,1133.84,1223.36
506,1100,1288.16,1163.68,1316.53,1379.96
507,1100,837.05,874.61,922.29,983.31
508,1100,135.61,131.35,129.15,160.01
510,1100,861.57,822.01,832.95,890.01
511,1100,2292.68,2218.88,2321.32,2465.25
512,1100,431.13,398.37,425.33,396.22
513,1100,669.96,696.67,717.8,697.71
514,1100,324.38,330.21,321.94,359.45
515,1100,1470.14,1586.31,1704.78,1784.22
516,1100,164.64,148.59,144.84,149.24
520,1100,2266.55,2378.47,2462.56,2567.11
521,1100,443.33,403.98,397.8,426.9
522,1100,4241.33,4195.98,4510.37,4659.58
523,1100,1680.26,1695.50,1589.39,1596.78
524,1100,3366.20,3344.72,3527.74,3607.13
525,1100,863.91,899.59,939.34,909.66
526,1100,1412.33,1296.68,1415.38,1373.96
527,1100,2953.30,2874.73,3025.59,2913.68
528,1100,1985.27,2024.87,2198.05,2163.63
660,1100,10373.16,11099.80,10969.19,11773.47
661,1100,1339.77,1405.03,1473.32,1529.64
662,1100,13803.07,14225.98,15151.09,15387.20
664,1100,1115.01,1129.83,1272.77,792.92
665,1100,1320.56,1259.43,1271.45,1451.74
666,1100,3768.81,3773.41,4082.68,4107.58
667,1100,1310.89,1401.75,1410.30,1493.59
668,1100,560.53,494.76,526.12,555.05
669,1100,94.78,89.62,106.22,119.15
670,1100,1730.38,1731.36,1814.36,1982.70
671,1100,727.93,760.28,753.8,747.31
672,1100,5634.56,5816.69,6022.91,6370.09
673,1100,694.25,815.03,794.63,760.27
674,1100,989.83,1011.29,1008.09,1050.19
675,1100,780.41,811.17,828.14,879.94
676,1100,432.29,479.51,497.07,549.11
677,1100,297.71,305.68,328.04,281.93
678,1100,435.66,409.12,435.5,464.79
679,1100,167.27,146.21,141.3,125.12
400,1100,2664.89,2862.12,3014.12,3128.39
401,1100,1347.51,1451.05,1858.32,1011.63
402,1100,12452.13,12579.62,13354.78,14046.02
403,1100,2577.82,2901.30,3077.38,3211.83
404,1100,1189,1304.43,1296.99,1341.06
405,1100,4989.68,4682.15,4976.24,5362.22
406,1100,595.98,620.99,630.05,650.32
407,1100,367.9,326.99,367.21,427.2
408,1100,109.33,103.3,104.03,135.38
409,1100,126.54,154.89,137.46,137.75
410,1100,6886.12,7026.60,7346.17,7916.79
411,1100,1085.32,1067.05,1143.55,1192.45
412,1100,283.31,295.96,317.46,319.28
413,1100,96.9,116.71,122.53,153.13
414,1100,108.97,105.05,122.83,133.47
415,1100,339.94,323.48,351.67,382.59
416,1100,230.59,223.26,254.37,260.75
417,1100,161.07,184.16,211.64,202.71
418,1100,70.12,61.53,55.07,65.6
420,1100,3392.96,3267.70,3665.75,3656.21
421,1100,2273.91,2260.50,2471.37,2650.16
422,1100,1852.17,1874.06,2072.74,1586.83
423,1100,2859.06,2595.97,2845.25,2829.64
424,1100,2800.53,2747.94,2917.93,2989.66
425,1100,328.66,330.84,326.78,370.16
426,1100,236.57,232.61,224.88,225.08
427,1100,2112.84,2080.38,2264.05,2473.03
700,1100,14415.19,14426.46,15173.82,16086.98
701,1100,6605.01,6480.50,6473.11,7470.14
703,1100,4959.28,4932.17,5267.52,5288.30
704,1100,14003.10,14124.11,14902.48,15242.36
705,1100,24521.65,24058.19,25681.57,26736.09
706,1100,6735.69,6807.62,7283.31,7389.76
707,1100,14560.01,14599.42,15076.04,15432.13
708,1100,13864.56,13313.88,13534.61,13639.56
710,1100,1372.65,1358.51,1379.60,1419.19
711,1100,5129.93,5365.93,5488.17,5671.39
712,1100,4582.55,4532.68,4569.79,4877.71
713,1100,3710.81,3927.04,4103.88,4100.06
714,1100,1799.31,1847.03,1845.50,1566.46
039,1100,858.33,824.52,943.91,810.05
040,1100,5835.07,6081.54,6426.90,6401.85
041,1100,3318.97,3319.55,3635.99,3726.90
042,1100,1522.05,1651.18,1717.47,1605.86
043,1100,1059.29,1033.37,1210.77,1147.77
044,1100,2246.51,2297.66,2273.44,2323.66
045,1100,528.71,520.75,711.3,558.34
046,1100,673.59,680.74,771.84,642.35
047,1100,457.19,475.26,522.34,527.88
048,1100,463.9,513.9,679,494.59
049,1100,1421.73,1561.34,1835.84,1805.52
206,1100,2964.11,3182.90,3239.62,3322.29
207,1100,4318.64,4682.46,4629.45,4670.61
208,1100,12346.53,12883.79,13663.09,13099.91
209,1100,1957.93,2177.48,2261.68,2339.59
210,1100,13147.99,13754.77,14020.70,14535.82
211,1100,5763.62,6006,6006.45,6337.74
212,1100,12037.11,12273.81,12579.41,13306.55
214,1100,1968.64,2146.78,2271.20,2226.20
215,1100,1115.82,1196.96,1267.39,1276.96
216,1100,2306.66,2249.28,2586.04,2490.72
217,1100,8020.80,8023.63,8533.14,8378.81
218,1100,1536.28,1612.16,1821.20,1724.44
219,1100,1737.59,1718.04,1854.23,2001.87
010,1100,7050.76,7399.81,7354.06,7879.54
011,1100,1929.74,1980.16,2037.57,2228.83
012,1100,1908.47,1900.68,2090.73,2093.04
013,1100,2152.09,2230.67,2335.94,2407.38
014,1100,4484.24,4435.01,4550.59,4757.55
015,1100,5532.69,5513.79,5804.93,5924.80
016,1100,3929.26,3995.79,3995.69,4546.25
017,1100,9195.76,9187.38,9692.50,10262.56
018,1100,15337.27,15861.03,16734.07,17032.59
019,1100,15513.21,15671.34,16932.21,17225.14
