ZIPCODE,DRUGCODE,Q1,Q2,Q3,Q4
995,1100B,684.51,637.42,538.54,730.05
996,1100B,152.06,170.67,124.04,164.62
997,1100B,145.60,97.70,87.92,158.39
998,1100B,56.38,57.25,25.98,59.46
999,1100B,9.41,12.99,9.56,25.54
995,1100D,1583.48,1584.11,1278.53,1542.95
996,1100D,282.65,338.67,272.19,316.55
997,1100D,332.39,264.39,196.08,362.05
998,1100D,83.73,86.15,44.25,92.04
999,1100D,19.65,18.37,15.42,30.63
995,1105D,13.60,12.00,12.81,12.80
997,1105D,1.20,1.60,3.20,1.60
995,1724,3481.38,3454.64,2849.29,4219.66
996,1724,1055.34,1168.74,827.62,1198.24
997,1724,1174.46,1172.61,987.57,1308.63
998,1724,338.10,298.44,242.32,368.00
999,1724,200.23,222.90,272.19,217.40
995,9041L,19.21,19.58,20.83,18.50
996,9041L,3.55,13.85,7.12,4.97
997,9041L,7.84,15.68,27.31,32.28
998,9041L,0.71,2.83,0.35,1.41
999,9041L,0.00,2.83,0.00,0.71
995,9050,5801.94,5680.28,4971.92,6023.05
996,9050,1788.76,2016.77,1825.53,1938.54
997,9050,2492.48,2844.69,2302.17,2581.54
998,9050,1462.63,1387.45,1646.65,1674.64
999,9050,728.62,446.06,676.99,636.02
995,9064,0.00,0.00,0.00,0.00
996,9064,0.00,0.00,0.00,0.00
997,9064,0.00,0.00,0.00,0.00
999,9064,0.00,0.00,0.00,0.00
995,9143,19941.14,19523.83,17066.51,17428.85
996,9143,4837.74,5110.54,4921.28,4961.49
997,9143,2146.68,2136.51,1865.57,2455.49
998,9143,1211.17,1553.71,1216.56,1459.54
999,9143,340.72,428.37,500.64,629.77
995,9150,291.64,712.59,512.14,826.71
996,9150,22.83,60.26,90.79,89.67
997,9150,24.86,23.13,13.96,26.67
998,9150,9.24,4.99,7.10,4.74
999,9150,1.06,0.37,1.71,4.05
995,9193,4705.76,5230.06,5044.96,5392.17
996,9193,2013.23,2497.45,2467.30,2560.59
997,9193,831.04,846.05,825.80,984.09
998,9193,512.17,540.59,574.46,573.73
999,9193,199.92,246.46,293.51,272.76
995,9230,4238.67,4210.82,3618.15,4501.07
996,9230,1569.52,2073.60,1525.23,2112.93
997,9230,1115.16,949.66,722.44,1144.46
998,9230,288.00,363.45,239.87,428.28
999,9230,47.49,78.76,92.50,64.94
995,9250B,2489.56,3527.10,3696.08,4214.34
996,9250B,569.16,838.17,898.12,1169.38
997,9250B,256.39,333.98,298.65,336.00
998,9250B,108.65,164.66,145.17,166.09
999,9250B,35.54,47.11,68.49,74.61
995,9300,4303.69,6341.76,5879.08,6313.14
996,9300,1310.47,1896.71,2079.55,2088.88
997,9300,512.33,627.06,652.87,662.82
998,9300,147.55,302.71,356.48,313.25
999,9300,209.61,138.82,137.52,149.41
995,9801,94.10,102.11,98.80,123.92
996,9801,38.47,39.61,32.36,40.93
997,9801,16.61,16.95,16.66,24.47
998,9801,5.39,5.28,8.37,6.58
999,9801,1.71,1.73,2.21,1.56
350,1100B,1199.33,820.50,1224.75,1329.15
351,1100B,750.88,550.68,857.24,917.27
352,1100B,2604.57,2334.29,3070.49,3366.43
354,1100B,796.47,588.64,852.54,1027.32
355,1100B,331.04,165.09,307.58,341.00
356,1100B,874.65,454.23,992.00,1073.76
357,1100B,309.94,240.48,312.75,331.97
358,1100B,506.11,517.94,593.29,559.87
359,1100B,547.10,204.13,513.81,578.78
360,1100B,424.30,249.01,428.93,469.34
361,1100B,621.22,523.27,671.50,738.58
362,1100B,321.63,183.89,341.65,384.76
363,1100B,435.77,259.68,454.16,518.12
364,1100B,157.66,96.03,182.63,183.52
365,1100B,908.11,571.56,964.95,1065.63
366,1100B,952.60,800.33,1039.76,1179.52
367,1100B,134.59,58.35,138.42,157.44
368,1100B,650.68,509.40,549.06,621.62
369,1100B,18.99,8.49,25.75,31.24
350,1100D,1734.79,1180.12,1726.80,1819.98
351,1100D,1013.81,700.59,1063.24,1182.77
352,1100D,3670.46,3453.49,4221.30,4634.12
354,1100D,1172.76,847.55,1272.76,1448.32
355,1100D,460.65,220.56,419.88,474.57
356,1100D,1088.25,586.14,1221.30,1290.21
357,1100D,421.49,349.21,426.33,470.22
358,1100D,662.55,686.68,771.61,721.67
359,1100D,831.54,280.58,736.91,791.59
360,1100D,593.13,354.60,594.02,660.73
361,1100D,958.27,774.83,1071.49,1100.76
362,1100D,415.68,240.21,431.77,476.38
363,1100D,613.27,373.64,604.17,665.15
364,1100D,203.36,123.71,229.78,228.22
365,1100D,1081.90,684.71,1149.82,1280.18
366,1100D,1130.01,925.20,1201.60,1369.35
367,1100D,186.29,67.92,174.98,198.66
368,1100D,844.02,688.94,747.66,807.45
369,1100D,25.99,13.60,36.77,40.53
350,1105D,0.00,0.00,0.40,0.00
351,1105D,2.40,0.00,0.00,3.20
352,1105D,13.62,10.00,11.60,15.21
354,1105D,7.20,2.80,11.60,10.81
355,1105D,2.40,2.40,2.80,2.00
356,1105D,4.00,4.40,3.20,5.20
357,1105D,1.60,0.00,1.20,1.20
358,1105D,7.22,5.21,2.40,2.80
359,1105D,9.21,0.00,7.61,13.22
361,1105D,1.20,0.40,1.20,1.20
364,1105D,0.00,0.00,0.00,0.40
366,1105D,4.40,4.40,0.80,2.40
367,1105D,2.80,0.00,2.40,2.00
368,1105D,0.00,0.00,0.00,0.80
350,1724,4556.02,2988.37,4957.56,5407.56
351,1724,2722.97,1605.67,2582.54,3187.69
352,1724,10660.66,9689.63,13675.98,13735.14
354,1724,2077.62,1256.56,2212.99,2260.21
355,1724,1364.45,555.56,1291.94,1616.01
356,1724,3559.48,1684.26,3713.57,3925.84
357,1724,1168.15,946.83,1342.09,1369.37
358,1724,2692.24,2105.06,2459.30,2517.86
359,1724,2027.36,813.23,1949.63,2230.44
360,1724,1913.41,1175.86,1879.87,2245.84
361,1724,2129.10,1861.37,2277.32,2329.43
362,1724,1333.67,627.40,1203.04,1344.50
363,1724,2773.68,2261.30,3201.29,3389.18
364,1724,960.23,411.90,961.28,1142.40
365,1724,2852.90,1746.10,2797.24,3198.65
366,1724,3255.55,2453.20,3214.30,4099.62
367,1724,751.75,315.77,641.73,898.16
368,1724,1924.60,1709.58,2022.71,2465.47
369,1724,119.02,45.70,137.64,151.71
350,9041L,3.20,3.90,1.78,2.49
351,9041L,7.12,5.69,3.55,5.69
352,9041L,73.61,39.15,48.80,47.53
354,9041L,2.13,0.71,1.42,3.55
355,9041L,0.71,0.00,1.42,2.13
356,9041L,10.68,12.79,8.89,14.57
357,9041L,3.57,2.14,13.56,14.28
358,9041L,20.65,9.26,9.96,32.10
359,9041L,2.12,0.70,1.06,0.35
360,9041L,0.00,2.14,1.42,1.42
361,9041L,27.76,41.63,35.94,35.21
362,9041L,12.10,3.54,4.98,0.00
363,9041L,1.06,5.17,0.71,0.71
364,9041L,4.46,0.00,4.46,0.00
365,9041L,0.71,0.71,3.55,0.71
366,9041L,9.07,8.36,12.27,11.21
367,9041L,0.00,0.35,0.35,0.00
368,9041L,5.69,10.68,6.39,5.68
350,9050,6828.35,5085.29,7374.75,7342.08
351,9050,3205.08,2049.36,3577.64,3687.89
352,9050,22010.59,12453.07,18200.21,18120.02
354,9050,2751.61,1764.52,2882.39,2665.80
355,9050,2695.61,1663.53,2446.23,2654.32
356,9050,6241.12,3843.62,5827.11,6371.87
357,9050,1211.31,861.19,1260.53,1066.93
358,9050,2201.74,2438.02,2281.15,2185.76
359,9050,2750.78,1517.88,2636.44,2872.51
360,9050,3010.07,2106.95,3109.05,3107.41
361,9050,2892.42,2547.06,3234.55,2650.71
362,9050,3077.61,2090.30,3035.22,3053.39
363,9050,2534.67,2172.14,2815.51,2647.06
364,9050,1238.27,827.86,1443.64,1241.00
365,9050,4701.17,3173.84,4276.72,4696.56
366,9050,6441.56,5530.96,6774.47,6076.49
367,9050,1541.13,1316.61,1855.62,1698.81
368,9050,3390.05,2250.68,3110.62,3121.69
369,9050,429.53,241.11,289.51,443.17
350,9064,0.00,0.00,0.00,0.00
351,9064,0.00,0.00,0.00,0.02
352,9064,0.00,0.00,0.00,0.26
354,9064,0.00,0.00,0.00,0.00
355,9064,0.00,0.00,0.00,0.00
356,9064,0.00,0.00,0.00,0.07
357,9064,0.00,0.00,0.00,0.00
