ZIPCODE,DRUGCODE,Q1,Q2,Q3,Q4
995,1100B,791.74,749.82,749.00,804.49
996,1100B,167.16,160.17,155.37,174.44
997,1100B,128.67,132.90,116.47,120.75
998,1100B,80.21,95.69,83.20,114.94
999,1100B,21.56,26.28,20.34,20.69
995,1100D,1475.83,1419.26,1410.83,1442.85
996,1100D,298.42,277.38,273.75,294.09
997,1100D,274.75,288.55,266.15,279.97
998,1100D,116.11,131.25,132.20,139.76
999,1100D,26.43,29.75,22.58,25.74
995,1105D,10.00,9.21,4.00,3.20
996,1105D,1.60,0.40,0.40,0.80
997,1105D,0.80,0.40,0.40,0.40
998,1105D,0.80,0.80,0.00,0.00
995,1724,4106.63,3813.86,3551.78,3814.55
996,1724,1094.99,1109.95,990.51,1154.59
997,1724,1464.71,1523.83,1348.70,1461.74
998,1724,410.61,427.43,424.36,586.08
999,1724,224.64,250.40,182.14,250.91
995,9041L,15.80,2.27,13.55,11.11
996,9041L,7.11,4.19,8.71,6.46
997,9041L,32.98,10.97,10.59,14.37
998,9041L,1.06,0.61,0.63,0.60
999,9041L,1.77,0.99,1.42,1.77
995,9050,5083.90,5138.67,5204.18,5135.70
996,9050,1973.57,1947.18,2036.89,1968.94
997,9050,2490.82,2332.70,2824.99,2192.61
998,9050,1289.54,1320.73,1408.33,1449.05
999,9050,696.64,638.08,677.49,684.40
995,9143,15522.30,15955.20,15662.04,15898.16
996,9143,4281.85,4359.82,4700.47,4351.77
997,9143,2858.52,2855.73,3159.87,2753.43
998,9143,1709.79,1607.44,1935.40,1747.75
999,9143,577.68,677.48,574.85,601.15
995,9150,335.46,390.69,296.97,470.40
996,9150,76.29,51.13,67.16,75.06
997,9150,28.83,32.68,35.93,36.03
998,9150,1.83,3.93,9.56,18.92
999,9150,2.05,6.28,10.00,6.50
995,9193,5466.32,5706.95,6010.94,6114.08
996,9193,2973.15,2833.99,3421.73,3020.35
997,9193,1084.97,1079.99,1168.74,1218.35
998,9193,648.80,692.69,610.36,696.77
999,9193,310.51,325.53,355.54,359.30
995,9230,3528.61,3489.60,3320.77,3258.88
996,9230,1889.40,1861.68,1619.51,1713.77
997,9230,878.41,865.29,876.15,645.66
998,9230,302.26,214.27,224.12,219.73
999,9230,45.20,37.15,45.42,27.17
995,9250B,4238.48,4397.36,4376.01,4662.49
996,9250B,1488.31,1645.98,1870.76,1935.79
997,9250B,394.95,428.72,545.49,537.48
998,9250B,213.34,203.50,274.10,260.85
999,9250B,129.54,118.43,112.73,119.15
995,9300,7059.83,8188.37,8148.91,8711.42
996,9300,2568.72,2773.65,2766.75,2886.00
