ZIPCODE,DRUGCODE,Q1,Q2,Q3,Q4
350,1100,6834.16,7519.52,7772.85,8106.38
351,1100,4236.58,4848.62,4830.82,5205.86
352,1100,10148.74,10981.15,10993.23,11580.19
354,1100,5578.77,6018.03,6320.92,6992.96
355,1100,1917.26,2075.55,2020.42,2255.71
356,1100,4512.58,5076.88,4710.96,5206.61
357,1100,1501.31,1831.48,1783.69,1920.17
358,1100,2298.40,2597.27,2605.38,2702.14
359,1100,1988.23,2225.32,2159.45,2347.15
360,1100,2458.86,2721.04,2734.80,2980.72
361,1100,3094.35,3529.30,3478.63,3468.56
362,1100,1119.60,1331.55,1064.04,1213.49
363,1100,2049.03,2159.11,2483.42,2683.36
364,1100,671.52,675.52,790.87,821.9
365,1100,4386.66,4703.76,5057.34,5201.69
366,1100,3570.12,3993.93,3966.17,4194.63
367,1100,699.4,779.33,825.85,890.1
368,1100,2782.03,2977.23,3072.73,3225.22
369,1100,73.62,102.93,62.76,86.91
995,1100,2369.93,2821.89,2674.24,2522.51
996,1100,546.03,801.4,636.78,603.34
997,1100,578.9,685.52,669.96,631.05
998,1100,268.5,322.15,281.06,297.92
999,1100,102.05,83.05,106.88,97.35
967,1100,1.25,0,1.27,0
850,1100,8460.27,9214.22,8799.63,8835.31
851,1100,0,212.15,852.12,967.58
852,1100,20048.13,21068.52,19536.99,19475.74
853,1100,5142.71,5698.31,5203.98,5475.05
855,1100,253.6,276.09,244.42,294.08
856,1100,918.12,1030.45,914.13,891.43
857,1100,6258.51,6816.67,6856.23,6769.66
859,1100,272.01,307.61,273.74,224.79
860,1100,631.89,714.8,697.29,646.55
863,1100,765.38,935.39,936.73,955.59
864,1100,562.23,586.36,548.98,650.33
865,1100,61.04,27.37,9.5,23.36
716,1100,1416.52,1491.41,1462.52,1584.50
717,1100,462.44,463.45,427.54,467.29
718,1100,620.36,677.99,620.41,672.01
719,1100,1421.24,1432.80,1467.67,1517.51
720,1100,4050.96,4287.14,4074.23,4195.01
721,1100,3410.75,3611.70,3603.16,3679.82
722,1100,3863.22,4094.04,3871.37,4186.48
723,1100,1130.11,1201.43,1028.59,1063.20
724,1100,2026.74,2139.46,1960.77,2053.03
725,1100,525.94,606.66,563.72,610.58
726,1100,1000.47,948.66,941.16,974.03
727,1100,5285.54,5567.97,5368.40,5543.18
728,1100,709.43,716.18,623.79,715.51
729,1100,1264.80,1387.46,1268.75,1133.41
900,1100,8888.17,10269.16,10136.20,10488.63
902,1100,5438.17,6015.57,6095.26,6205.31
903,1100,141.63,136.03,136.16,135.75
904,1100,1700.27,1591.98,1832.48,1770.06
905,1100,1003.45,1131.27,985.59,1048.28
906,1100,1245.22,1420.66,1215.37,1403.60
907,1100,1672.54,1957.52,1704.62,1774.92
908,1100,1360.15,1585.52,1489.68,1615.16
910,1100,1060.45,1138.73,1052.36,1090.67
911,1100,1147.17,1193.98,1199.18,1211.83
912,1100,362.38,490.74,458.59,462.12
913,1100,8312.46,9243.85,8523.79,9044.51
914,1100,1970.13,2229.81,1907.36,1998.36
915,1100,965.46,990.01,986.86,955.02
916,1100,656.37,714.71,755.41,798.56
917,1100,3664.59,4163.97,3760.28,3818.45
918,1100,110.48,178.33,158.79,194.8
919,1100,1246.55,1459.69,1225.68,1438.92
920,1100,9027.73,10216.13,9651.75,9620
921,1100,7391.86,8615.76,8029.39,8249.53
922,1100,1766.30,2036.28,1743.03,1903.54
923,1100,2781.87,3056.82,2866.67,3191.12
924,1100,349.39,431.05,415.5,378.05
925,1100,3059.15,3574.94,3087.67,3401.49
926,1100,10449.38,11609.86,11338.74,11582.61
927,1100,1869.77,2051.37,2081.67,2313.90
928,1100,3948.07,4414.18,4248.38,4215.31
930,1100,3387.14,3840.91,3386.46,3791.96
931,1100,2196.09,2306.15,2188.04,2482.85
932,1100,1387.21,1534.52,1294.59,1366.20
933,1100,1188.80,1326.80,1199.24,1313.81
934,1100,1796.37,2195.84,1864.23,1972.45
935,1100,1647.32,1958.03,1771.93,1640.64
936,1100,1107.31,1324.95,1242.19,1377.66
937,1100,1563.20,1885.18,1622.66,1798.57
939,1100,1058.50,1199.99,1250.30,1135.14
940,1100,2754.58,3017.54,3064.73,3310.28
941,1100,4262.34,4995.49,5082.19,5580.09
943,1100,503.41,586.25,488.05,558.35
944,1100,611.51,638.94,624.48,685.08
945,1100,8377.95,9441.11,8627.56,9665.67
946,1100,1238.21,1294.02,1380.16,1573.07
947,1100,672.89,759.74,700.22,868.27
948,1100,282.01,248.07,249.09,239.38
949,1100,2387.03,2857.10,2821.09,2761.71
950,1100,3698.92,4085.18,4092.94,4078.03
951,1100,1838.87,2089.45,1980.76,2306.80
952,1100,1327.46,1461.70,1256.70,1371.62
953,1100,3631.31,3969.98,3724.76,4040.96
954,1100,2149.86,2439.48,2238.80,2472.84
955,1100,760.62,910.21,766.14,838.01
956,1100,7162.23,8083.19,7226.55,7770.33
957,1100,1382.67,1314.80,1378.77,1391.37
958,1100,3200.95,3370.42,3181.16,3496.96
959,1100,2957.95,3469.55,3234.53,3508.13
960,1100,915.13,1154.98,987.62,1106.63
961,1100,306.72,401.36,376.05,358.47
965,1100,2.2,0,0,0
800,1100,5161.48,5606.52,5526.06,5844.09
801,1100,4929.91,5773.64,5904.16,6210.87
802,1100,6220.17,6888.41,6937.68,7236.46
803,1100,1715.81,1879.70,1776.70,1875.77
804,1100,1274.53,1417.65,1381.07,1375.94
805,1100,2869.20,3225.64,3242.48,3438.18
806,1100,823.98,890.73,951.01,997.23
807,1100,186.58,201.71,176.69,175.78
808,1100,424.04,487.07,486.85,480.56
809,1100,2838.73,3031.62,3068.97,3387.89
810,1100,461.71,504.88,530.48,467.42
811,1100,132.89,161.11,163.7,155.12
812,1100,304.85,307.59,322.84,321.76
813,1100,289.11,358.1,399.62,411.55
814,1100,267.68,297.57,287.13,238.89
815,1100,809.31,907.79,864.53,834.96
816,1100,960.29,981.41,1079.45,1026.92
060,1100,4273.69,5099.28,4509.59,4979.03
061,1100,1516.06,1762.67,1609.73,1710.13
062,1100,916.69,1014.49,876.62,1099.46
063,1100,2691.54,3183.97,2836.17,2891.39
064,1100,5514.46,6481.97,6017.05,6347.01
065,1100,1571.11,1838.69,1733.76,1820.80
066,1100,736.84,858.97,694.83,794.4
067,1100,1642.15,2058.41,1830.60,1844.76
068,1100,4781.60,5330.07,5126.97,5380.24
069,1100,559.62,691.36,665.79,670.39
197,1100,5423.94,5887.82,5709.94,6345.34
198,1100,3912.43,4178.79,4018.97,4520.35
199,1100,3904.57,4417.46,4566.86,4713.64
200,1100,4404.98,5184.62,4898.41,5061.33
203,1100,191.67,184.16,213.53,169.58
204,1100,50.48,69,80.99,80.37
320,1100,3280.68,3735.49,3337.03,3776.17
321,1100,2683.99,2982.76,2982.27,3274.03
322,1100,7833.88,8577.14,8612.84,9383.26
323,1100,4566.33,5160.07,4937.73,5614.90
324,1100,2687.20,2998.49,2909.99,3165.43
325,1100,8346.12,8837.40,8575.62,9226.83
326,1100,2940.90,3097.03,3034.78,3155.70
327,1100,7998.57,8571.98,8155,8789.83
328,1100,7368.35,7643.85,6904.68,7672.46
329,1100,5603.78,6038.92,5744.78,6304.88
330,1100,25451.52,32645.91,32080.68,16207.03
331,1100,6154.78,6573.02,6076.95,7029.80
333,1100,4388.09,5008.85,4967.41,5277.15
334,1100,9211.67,10319.13,9828.94,10794.80
335,1100,3397.78,3699.98,3321.85,3812.41
336,1100,5576.82,6133.44,5977.38,6435.48
337,1100,5393.52,5447.51,5194.80,5699.83
338,1100,3305.13,3756.52,3349,3412.59
339,1100,5318.97,5763.42,5626.12,6219.86
341,1100,2670.22,3077.05,2829.95,3157.79
342,1100,4784.83,5260.78,4969.42,5519.80
344,1100,1749.23,1839.49,1820.60,1841.37
346,1100,3502.30,3903.36,3754.96,4108.42
347,1100,3178.72,3329.06,3201.57,3453.50
349,1100,2542.82,2786.86,2819.60,2984.40
300,1100,18704.01,21189,20143.74,21550.89
301,1100,10464.88,11771.40,10936.88,11908.53
302,1100,6300.46,7043.39,6852.03,7347.11
303,1100,9487.39,10683.44,10240.42,10847.83
304,1100,3038.98,2533.84,2858.59,3061.15
305,1100,4807.94,5748.21,5536.98,5870.26
306,1100,3740.66,4599.44,4194.38,4434.24
307,1100,3252.68,3923.38,3707.39,3972.56
308,1100,1790.64,1969.51,1835.98,2037.38
309,1100,3048.60,3364.01,3154.28,3268.91
310,1100,3531.30,3399.01,3630.56,3946.19
312,1100,1488.46,1482.80,1486.91,1669.99
313,1100,2089.11,2154.44,2304.55,2355.72
314,1100,2261.31,2716.64,2543.27,2659.88
315,1100,2830.71,2629.37,2957.72,3097.21
316,1100,1398.94,1436.29,1546.29,1554.72
317,1100,3005.83,2757.52,3075.39,3324.59
318,1100,306.07,317.58,313.57,359.18
319,1100,3298.33,3310.65,3513.97,3732.23
398,1100,566.84,541.32,590.7,695.68
969,1100,224.76,272.14,201.97,360.31
967,1100,2178.86,2510.65,2181.91,2186.74
968,1100,1540.41,1704.22,1661.70,1827.33
832,1100,599.56,619.56,627.89,615.33
833,1100,1157.97,1255.45,1188.37,1277.05
834,1100,1312.27,1487.13,1544.51,1557.56
835,1100,191.55,207.19,207.58,220.74
836,1100,2524.78,2916.76,2667.81,2838.07
837,1100,3024.13,3392.77,3067.73,3271.69
838,1100,783.23,870.15,839.73,922.22
600,1100,17176.92,18900.16,19126.32,17598.67
601,1100,8029.85,8955.28,8873.66,10131.99
602,1100,690.85,828.83,824.59,888.49
603,1100,514.61,580.23,519.03,573.3
604,1100,5994.52,6820.12,6515.96,6926.15
605,1100,6499.99,6951.16,6872.23,7600.23
606,1100,11274.88,12981.54,12688.64,13400.15
607,1100,735.08,769.51,722.01,821.87
608,1100,299.92,322.28,289.55,295.62
609,1100,940.2,1098.60,1012.94,1059.23
610,1100,1792.87,2002.42,1829.59,1981.64
611,1100,2069.44,2226.69,2064.14,2289.08
612,1100,1329.52,1522.79,1471.93,1677.61
613,1100,1062.11,1132.04,1049.60,1113.11
614,1100,967.08,1049.98,947.77,1147.83
615,1100,1344.31,1594.59,1504.65,1622.89
616,1100,1816.70,2010.40,1861.18,2239.62
617,1100,1484.52,1752.62,1766.92,1925.81
618,1100,2255.07,2434.63,2324.97,2367.04
619,1100,747.18,834.06,764.89,882.17
620,1100,1495.94,1647.99,1712.60,1799.65
622,1100,2278.76,2371.61,2321.51,2628.30
623,1100,1197.19,1303.61,1274.33,1247.95
624,1100,846.18,902.96,852.46,955.92
625,1100,1293.76,1451.40,1454.08,1469.69
626,1100,863.06,890.49,796.73,950.96
627,1100,1289.87,1452.57,1339.94,1430.92
628,1100,1160.30,1387.36,1229.47,1370.33
629,1100,1685.85,1946.24,1732.26,1909.27
460,1100,6241.04,7146.44,7150.93,7398.97
461,1100,3572.54,4018.70,3728.28,4051.20
462,1100,8067.83,9372.88,8955.66,9320.13
463,1100,3925.06,4210.88,4445.98,4545.55
464,1100,495.54,631.9,632.26,657.95
465,1100,7743.30,8470.23,8717.36,9104.72
466,1100,1830.10,1966.75,2019.38,2231.87
467,1100,1453.09,1652.25,1532.89,1724.25
468,1100,2384.49,2623.89,2518.13,2834.87
469,1100,3010.16,3449.09,3376.62,3652.49
470,1100,601.54,744.91,691.31,767.84
471,1100,2311.89,2683.69,2547.15,2835.87
472,1100,909.65,1082.60,884.97,1046.41
473,1100,3074.91,3386.71,3247.01,3393.75
474,1100,2625.53,2612.85,2443.45,2767.25
475,1100,1324.36,1455.80,1279.50,1509.23
476,1100,1361.60,1607.37,1501.76,1657.14
477,1100,3093.69,3442.06,3396.33,3496.81
478,1100,1131.57,1409.86,1221.54,1263.24
479,1100,3364.41,3595.77,3752.88,4035.61
500,1100,1422.13,1658.25,1553.31,1689.29
501,1100,1126.04,1316.84,1161.44,1259.70
502,1100,1450.95,1717.06,1592.31,1557.38
503,1100,2643.44,2980.29,2839.27,3036.75
504,1100,388.23,446.28,379.97,454.74
505,1100,984.34,1122.99,946.7,1067.55
506,1100,831.56,832.92,868.28,935.41
507,1100,539.19,543.05,552.32,598.14
508,1100,162.47,169.03,157.5,148.28
