DATE,CPILFESL
1990-01-01,132.7666666666666667
1990-04-01,134.5000000000000000
1990-07-01,136.5000000000000000
1990-10-01,138.0666666666666667
1991-01-01,140.0666666666666667
1991-04-01,141.3333333333333333
1991-07-01,142.8666666666666667
1991-10-01,144.2000000000000000
1992-01-01,145.4666666666666667
1992-04-01,146.7333333333333333
1992-07-01,147.8666666666666667
1992-10-01,149.2000000000000000
1993-01-01,150.5000000000000000
1993-04-01,151.7666666666666667
1993-07-01,152.6666666666666667
1993-10-01,153.8666666666666667
1994-01-01,154.8666666666666667
1994-04-01,155.9333333333333333
1994-07-01,157.1000000000000000
1994-10-01,158.1000000000000000
1995-01-01,159.4333333333333333
1995-04-01,160.7333333333333333
1995-07-01,161.8000000000000000
1995-10-01,162.9333333333333333
1996-01-01,164.0333333333333333
1996-04-01,165.0000000000000000
1996-07-01,166.0666666666666667
1996-10-01,167.1333333333333333
1997-01-01,168.1000000000000000
1997-04-01,169.1666666666666667
1997-07-01,169.9000000000000000
1997-10-01,170.8666666666666667
1998-01-01,171.9000000000000000
1998-04-01,172.8666666666666667
1998-07-01,173.9000000000000000
1998-10-01,174.8666666666666667
1999-01-01,175.6333333333333333
1999-04-01,176.4666666666666667
1999-07-01,177.4000000000000000
1999-10-01,178.4000000000000000
2000-01-01,179.5666666666666667
2000-04-01,180.7000000000000000
2000-07-01,181.9000000000000000
2000-10-01,183.0000000000000000
2001-01-01,184.3333333333333333
2001-04-01,185.4666666666666667
2001-07-01,186.7333333333333333
2001-10-01,187.9666666666666667
2002-01-01,189.0000000000000000
2002-04-01,189.9666666666666667
2002-07-01,190.9666666666666667
2002-10-01,191.8333333333333333
2003-01-01,192.4666666666666667
2003-04-01,192.8000000000000000
2003-07-01,193.5666666666666667
2003-10-01,194.0666666666666667
2004-01-01,195.0000000000000000
2004-04-01,196.2333333333333333
2004-07-01,197.0666666666666667
2004-10-01,198.2666666666666667
2005-01-01,199.5000000000000000
2005-04-01,200.4333333333333333
2005-07-01,201.1000000000000000
2005-10-01,202.4333333333333333
2006-01-01,203.7000000000000000
2006-04-01,205.3666666666666667
2006-07-01,206.7666666666666667
2006-10-01,207.8333333333333333
2007-01-01,209.0510000000000000
2007-04-01,210.0656666666666667
2007-07-01,211.1486666666666667
2007-10-01,212.6350000000000000
2008-01-01,214.0433333333333333
2008-04-01,214.9733333333333333
2008-07-01,216.3570000000000000
2008-10-01,216.8866666666666667
2009-01-01,217.7970000000000000
2009-04-01,218.9073333333333333
2009-07-01,219.5596666666666667
2009-10-01,220.6826666666666667
2010-01-01,220.7156666666666667
2010-04-01,220.9926666666666667
2010-07-01,221.5276666666666667
2010-10-01,222.1073333333333333
2011-01-01,223.1566666666666667
2011-04-01,224.1996666666666667
2011-07-01,225.7326666666666667
2011-10-01,226.9366666666666667
2012-01-01,228.1296666666666667
2012-04-01,229.2506666666666667
2012-07-01,230.2873333333333333
2012-10-01,231.3596666666666667
2013-01-01,232.5306666666666667
2013-04-01,233.0593333333333333
2013-07-01,234.3053333333333333
2013-10-01,235.3463333333333333
2014-01-01,236.2570000000000000
2014-04-01,237.4793333333333333
2014-07-01,238.4620000000000000
2014-10-01,239.4110000000000000
2015-01-01,240.2460000000000000
2015-04-01,241.6993333333333333
2015-07-01,242.8993333333333333
2015-10-01,244.1853333333333333
2016-01-01,245.5610000000000000
2016-04-01,246.9793333333333333
2016-07-01,248.2903333333333333
2016-10-01,249.5096666666666667
2017-01-01,250.8000000000000000
2017-04-01,251.4050000000000000
2017-07-01,252.4863333333333333
2017-10-01,253.9230000000000000
2018-01-01,255.5836666666666667
2018-04-01,256.9886666666666667
2018-07-01,258.1910000000000000
2018-10-01,259.4890000000000000
2019-01-01,260.9270000000000000
2019-04-01,262.3196666666666667
2019-07-01,264.1496666666666667
2019-10-01,265.4400000000000000
