county, year, labforce, employed
06097,2000,253460,244927
06099,2000,207963,191746
06101,2000,37899,34331
06103,2000,23634,22089
06105,2000,5115,4613
06107,2000,172016,154107
06109,2000,22909,21557
06111,2000,392984,375180
06113,2000,86259,81906
06115,2000,24316,22379
08001,2000,186727,181535
08003,2000,7210,6947
08005,2000,281811,274923
08007,2000,5015,4854
08009,2000,2106,2044
08011,2000,2274,2185
08013,2000,160011,156146
08014,2000,22562,22017
08015,2000,7349,7103
08017,2000,1121,1092
08019,2000,6045,5879
08021,2000,3342,3172
08023,2000,1248,1155
08025,2000,1489,1409
08027,2000,1665,1608
08029,2000,12337,11877
08031,2000,305202,295908
08033,2000,904,853
08035,2000,105589,103403
08037,2000,25631,25014
08039,2000,11604,11341
08041,2000,264680,256914
08043,2000,17856,17151
08045,2000,24755,24087
08047,2000,3308,3225
08049,2000,7627,7438
08051,2000,8183,7957
08053,2000,651,638
08055,2000,3079,2906
08057,2000,885,860
08059,2000,309348,302024
08061,2000,782,758
08063,2000,3846,3747
08065,2000,4043,3907
08067,2000,24459,23753
08069,2000,146317,142656
08071,2000,6680,6401
08073,2000,2625,2552
08075,2000,10004,9718
08077,2000,58884,56921
08079,2000,419,404
08081,2000,7000,6750
08083,2000,11807,11311
08085,2000,16215,15615
08087,2000,12549,12168
08089,2000,8821,8437
08091,2000,2198,2140
08093,2000,8528,8310
08095,2000,2053,1999
08097,2000,9925,9651
08099,2000,6930,6729
08101,2000,63956,61428
08103,2000,3237,3143
08105,2000,5821,5558
08107,2000,12511,12195
08109,2000,2708,2557
08111,2000,515,491
08113,2000,4724,4580
08115,2000,1399,1361
08117,2000,16070,15706
08119,2000,11888,11533
08121,2000,2440,2377
08123,2000,93511,90983
08125,2000,5038,4905
09001,2000,452280,442598
09003,2000,435261,423806
09005,2000,100816,98723
09007,2000,86650,84801
09009,2000,420320,409354
09011,2000,133684,130536
09013,2000,76716,75241
09015,2000,58402,56854
10001,2000,63479,60922
10003,2000,270531,260715
10005,2000,79492,76391
11001,2000,310469,293086
12001,2000,116143,112640
12003,2000,10392,10078
12005,2000,71968,68623
12007,2000,10581,10183
12009,2000,231904,223468
12011,2000,854842,823673
12013,2000,5152,4909
12015,2000,55138,53090
12017,2000,43726,41677
12019,2000,73838,71600
12021,2000,116066,111735
12023,2000,25668,24657
12027,2000,13270,12679
12029,2000,5128,4899
12031,2000,408161,394593
12033,2000,132433,127082
12035,2000,21000,20245
12037,2000,4411,4237
12039,2000,19945,19145
12041,2000,6427,6196
12043,2000,4085,3892
12045,2000,5245,4928
12047,2000,4580,4335
12049,2000,10751,10114
12051,2000,16295,15116
12053,2000,49574,47411
12055,2000,33162,31569
12057,2000,528746,511461
12059,2000,7737,7364
12061,2000,51043,48426
12063,2000,19391,18499
12065,2000,6065,5841
12067,2000,2718,2607
12069,2000,93264,89912
12071,2000,207658,200939
12073,2000,134773,130656
12075,2000,14394,13834
12077,2000,2621,2512
12079,2000,7695,7381
12081,2000,123188,119262
12083,2000,109171,104748
12085,2000,56333,53983
12086,2000,1093542,1046967
12087,2000,45170,43877
12089,2000,30268,29267
12091,2000,80375,77412
12093,2000,15658,14815
12095,2000,499432,484112
12097,2000,89542,86592
12099,2000,541551,518667
12101,2000,150210,144659
12103,2000,470985,455503
12105,2000,231202,221632
12107,2000,29345,28090
12109,2000,66434,64467
12111,2000,87437,82393
12113,2000,54960,52852
12115,2000,148776,144010
12117,2000,212542,206108
12119,2000,16919,16189
12121,2000,15419,14866
12123,2000,8276,7868
12125,2000,4529,4331
12127,2000,209603,202516
12129,2000,11691,11316
12131,2000,19410,18737
12133,2000,8945,8541
13001,2000,8562,8095
13003,2000,3506,3318
13005,2000,4664,4449
13007,2000,1742,1667
13009,2000,18967,18042
13011,2000,7804,7565
13013,2000,25128,24364
13015,2000,40537,39030
13017,2000,8151,7752
13019,2000,8053,7728
13021,2000,70329,67260
13023,2000,5170,4950
13025,2000,6786,6498
13027,2000,7557,7205
13029,2000,11595,11228
13031,2000,27281,26214
13033,2000,9176,8707
13035,2000,9070,8650
13037,2000,2358,2203
13039,2000,17796,17141
13043,2000,3985,3798
13045,2000,44846,43157
13047,2000,29667,28863
13049,2000,3948,3784
13051,2000,111566,107528
13053,2000,2633,2415
13055,2000,11630,11187
13057,2000,82743,80578
13059,2000,54212,52334
13061,2000,1343,1268
13063,2000,126141,121852
13065,2000,2766,2616
13067,2000,360309,350131
13069,2000,17154,16352
